,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
0,"AVENIDA CAMINO REAL,  Carabayllo, Lima",112m²Superficie total,112m²Superficie techada,0Estacionamientos,No hay informacion,3Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 215,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-carabayllo-lima-3-dormitorios-13103196,https://img10.naventcdn.com/avisos/111/00/13/10/31/96/720x532/192922966.jpg
1," Rímac, Lima",260m²Superficie total,160m²Superficie techada,0Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 793,480",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rimac-lima-5-a-mas-dormitorios-13279225,https://img10.naventcdn.com/avisos/111/00/13/27/92/25/720x532/199863015.jpg
2,"pastor sevilla,  Chorrillos, Lima",300m²Superficie total,300m²Superficie techada,2Estacionamientos,No hay informacion,6Dormitorios,34Antigüedad,No hay informacion,No hay informacion,"S/ 2,145,000",1,https://urbania.pe/inmueble/venta-de-casa-en-chorrillos-lima-5-a-mas-dormitorios-58024012,https://img10.naventcdn.com/avisos/111/00/58/02/40/12/720x532/206764920.jpg
3," La Encantada De Villa, Chorrillos",1178m²Superficie total,400m²Superficie techada,4Estacionamientos,1Medio baño,4Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"USD 680,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-58083919,https://img10.naventcdn.com/avisos/111/00/58/08/39/19/720x532/207709354.jpg
4,"Calle El Naranjo,  Carabayllo, Lima",1050m²Superficie total,154m²Superficie techada,5Estacionamientos,No hay informacion,2Dormitorios,8Antigüedad,No hay informacion,No hay informacion,"S/ 499,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-carabayllo-lima-2-dormitorios-58038898,https://img10.naventcdn.com/avisos/111/00/58/03/88/98/720x532/210090048.jpg
5,"Pedro Benvenutto,  San Miguel, Lima",348m²Superficie total,348m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,33Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,424,280",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-miguel-lima-4-dormitorios-13316364,https://img10.naventcdn.com/avisos/111/00/13/31/63/64/720x532/197736465.jpg
6,"EL MEJOR CLIMA DE LIMA  SEGURIDA 24 HORAS,  Chosica (Lurigancho), Lima",192m²Superficie total,192m²Superficie techada,No hay informacion,No hay informacion,3Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 620,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chosica-lurigancho-lima-3-dormitorios-58186572,https://img10.naventcdn.com/avisos/111/00/58/18/65/72/720x532/209281689.jpg
7," Rinconada Alta, La Molina",1014m²Superficie total,332m²Superficie techada,0Estacionamientos,1Medio baño,4Dormitorios,29Antigüedad,No hay informacion,No hay informacion,"S/ 2,646,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-alta-la-molina-4-dormitorios-13491695,https://img10.naventcdn.com/avisos/111/00/13/49/16/95/720x532/201439442.jpg
8," Santa Catalina, La Victoria",272m²Superficie total,173m²Superficie techada,No hay informacion,No hay informacion,6Dormitorios,35Antigüedad,No hay informacion,No hay informacion,"S/ 1,026,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santa-catalina-la-victoria-5-a-mas-dormitorios-58422163,https://img10.naventcdn.com/avisos/111/00/58/42/21/63/720x532/213441333.jpg
9,"RINCONADA ALTA,  La Molina, Lima",616m²Superficie total,367m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,3Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,822,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-13197049,https://img10.naventcdn.com/avisos/111/00/13/19/70/49/720x532/194957884.jpg
10," San Bartolo, Lima",100m²Superficie total,80m²Superficie techada,0Estacionamientos,1Medio baño,5Dormitorios,17Antigüedad,No hay informacion,No hay informacion,"S/ 517,700",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-bartolo-lima-5-a-mas-dormitorios-57791928,https://img10.naventcdn.com/avisos/111/00/57/79/19/28/720x532/202935722.jpg
11," Maranga, San Miguel",160m²Superficie total,200m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 979,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-maranga-san-miguel-5-a-mas-dormitorios-13472166,https://img10.naventcdn.com/avisos/111/00/13/47/21/66/720x532/200835703.jpg
12,"LINDA CASA EN LOS ALAMOS,  Los Alamos, Santiago de Surco",188m²Superficie total,331m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 1,460,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-alamos-santiago-de-surco-4-dormitorios-13483897,https://img10.naventcdn.com/avisos/111/00/13/48/38/97/720x532/201126431.jpg
13," San Juan de Lurigancho, Lima",120m²Superficie total,120m²Superficie techada,0Estacionamientos,No hay informacion,6Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 367,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-juan-de-lurigancho-lima-5-a-mas-dormitorios-58260809,https://img10.naventcdn.com/avisos/111/00/58/26/08/09/720x532/210475247.jpg
14," Villa María del Triunfo, Lima",214m²Superficie total,180m²Superficie techada,0Estacionamientos,No hay informacion,0Dormitorios,10Antigüedad,No hay informacion,No hay informacion,"S/ 322,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-villa-maria-del-triunfo-lima-58084071,https://img10.naventcdn.com/avisos/111/00/58/08/40/71/720x532/207712662.jpg
15,"Los cuarzos 1xx,  Alejandro Camacho, Santiago de Surco",1080m²Superficie total,350m²Superficie techada,4Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 9,296,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-alejandro-camacho-santiago-de-surco-4-dormitorios-12860903,https://img10.naventcdn.com/avisos/111/00/12/86/09/03/720x532/192636296.jpg
