,Metros cuadrados,Metros cuadrados techados,Parqueo,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Alquiler,Mantenimiento,Departamento,Ate Vitarte,Barranco,Breña,Callao_Luriganch_Ancon_Carabay_PuentePie,Cañete,Chaclacayo,Chorrillos_VillaSalvador_VMT,Cienegui_Pachacam_Lurin,Comas,Jesus Maria,La Molina,La Victoria,Lince,Los Olivos,Magdalena,Magdalena del Mar,Mala,Miraflores,Pucusana,Pueblo Libre,Punta Hermosa,Punta Negra,Rimac_Agust_Independen,San Antonio,San Bartolo,San Borja,San Isidro,San Luis,San Martín de Porres,San Miguel,Santa Anita,Santa Maria del Mar,Santiago de Surco,Surquillo,log_alquiler
0,110.0,110.0,1,3.0,20.0,0,2,3122.0,345.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.046229101075378
1,110.0,110.0,1,3.0,0.0,0,7,3652.0,340.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20303024171486
2,135.0,135.0,1,2.0,0.0,0,4,4650.0,400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.444622498581403
3,35.0,35.0,0,2.0,0.0,1,3,1975.0,120.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.5883236773352225
4,215.0,215.0,2,3.0,1.0,1,7,5644.0,350.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.638348312972704
5,120.0,120.0,2,3.0,5.0,1,1,3500.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.160518247477505
6,195.0,195.0,2,3.0,4.0,1,5,7250.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88875674784872
7,81.0,81.0,1,1.0,0.0,1,2,3685.0,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.212025804623437
8,191.0,191.0,1,4.0,48.0,1,2,8300.0,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.02401079378469
9,120.0,120.0,2,2.0,0.0,1,4,4656.0,485.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.445911989411274
10,75.0,75.0,1,2.0,0.0,0,3,2890.0,250.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.969011781106478
11,95.0,95.0,1,3.0,9.0,0,2,3320.0,220.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.107720061910534
12,135.0,135.0,1,3.0,9.0,1,4,3630.0,450.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.196987927258897
13,76.0,76.0,1,3.0,14.0,0,2,2855.0,180.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.956827122090111
14,63.0,63.0,1,1.0,0.0,0,20,1800.0,180.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.495541943884256
15,105.0,105.0,1,2.0,5.0,0,8,2805.0,530.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9391588179567965
16,76.0,76.0,2,2.0,8.0,0,4,2700.0,300.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90100705199242
17,40.0,40.0,0,1.0,0.0,0,6,2300.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7406644019172415
18,80.0,80.0,0,3.0,5.0,1,15,1700.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.438383530044307
19,218.0,218.0,2,3.0,0.0,0,7,8964.0,800.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.100971834920818
20,67.0,67.0,1,2.0,1.0,1,4,3000.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.006367567650246
21,112.0,112.0,1,3.0,11.0,1,5,4290.0,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.364042011922063
22,75.0,75.0,1,2.0,5.0,0,8,2100.0,250.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.649692623711514
23,196.0,196.0,2,3.0,0.0,0,8,6304.0,610.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.748939631537715
24,165.0,165.0,2,3.0,9.0,1,3,5280.0,200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.571681376700306
25,250.0,250.0,1,3.0,15.0,1,9,6460.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.773384596776648
26,250.0,250.0,1,3.0,15.0,1,7,6460.0,600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.773384596776648
27,94.0,94.0,1,3.0,10.0,1,5,3380.0,230.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.125630988477065
28,130.0,130.0,1,3.0,6.0,1,3,3700.0,500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.216088098632316
